LSOA21CD,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003488,"6","6",1502.51,36817.566,35315.056,130039.457,21673.2428333333,23802.519,12675.9703686906,1502.51,1502.51,10574.261,33540.082,22965.821
E01003489,"10","10",55.219,37239.464,37184.245,122718.887,12271.8887,8415.9925,10782.5550576558,55.219,55.219,4729.741,16030.776,11301.035
E01003491,"10","10",787.717,37694.972,36907.255,103629.484,10362.9484,8781.025,10126.2050437093,787.717,787.717,2650.13,10162.414,7512.284
E01003566,"5","5",5768.691,30329.318,24560.627,97278.212,19455.6424,20344.758,9415.41675066647,5768.691,5768.691,12200.692,28634.753,16434.061
E01003569,"6","6",1049.227,31327.267,30278.04,104809.729,17468.2881666667,17188.5155,11949.8375985797,1049.227,1049.227,7623.653,30432.551,22808.898
E01003605,"7","7",972.513,27447.277,26474.764,106195.287,15170.7552857143,13921.675,9957.85719087272,972.513,972.513,7407.0895,24519.8215,17112.732
E01034201,"6","6",78.551,22011.66,21933.109,70163.711,11693.9518333333,12909.4445,8970.56933254944,78.551,78.551,2355.822,19898.789,17542.967
E01034203,"6","6",424.307,13463.505,13039.198,47418.823,7903.13716666667,9114.8245,4651.77984200866,424.307,424.307,3378.019,11923.343,8545.324
E01003492,"7","7",4520.943,22604.587,18083.644,94088.118,13441.1597142857,14578.097,5223.59470574269,4520.943,4520.943,11586.1415,14606.104,3019.9625
E01003568,"6","6",5.71,29792.432,29786.722,107508.608,17918.1013333333,22092.467,10174.1725369857,5.71,5.71,9124.676,24400.856,15276.18
E01003599,"3","3",7294.145,60665.07,53370.925,89168.396,29722.7986666667,21209.181,22604.9430165106,7294.145,7294.145,14251.663,40937.1255,26685.4625
E01003494,"8","8",9.276,53193.794,53184.518,105793.687,13224.210875,4271.019,17268.7314310531,9.276,9.276,2233.2195,19791.07,17557.8505
E01003495,"3","3",5538.521,55085.129,49546.608,112716.362,37572.1206666667,52092.712,22684.0953177724,5538.521,5538.521,28815.6165,53588.9205,24773.304
E01003527,"6","6",3592.245,55722.89,52130.645,113594.068,18932.3446666667,7963.439,18941.0694388154,3592.245,3592.245,6482.612,31869.443,25386.831
E01003537,"7","7",4538.267,59829.176,55290.909,186712.865,26673.2664285714,18145.37,20406.7903131782,4538.267,4538.267,13754.587,38345.439,24590.852
E01003539,"8","8",3589.035,82484.361,78895.326,248490.755,31061.344375,26935.9665,24292.2410605009,3589.035,3589.035,11336.5125,42936.2005,31599.688
E01034204,"5","5",5297.141,28051.767,22754.626,93519.729,18703.9458,19083.686,7892.64441976597,5297.141,5297.141,16217.346,24869.789,8652.443
E01003496,"5","5",16015.767,65263.62,49247.853,160648.635,32129.727,25302.695,17164.6537299591,16015.767,16015.767,24112.991,29953.562,5840.571
E01003498,"6","6",7511.618,109536.661,102025.043,233213.321,38868.8868333333,15477.1405,38938.4388367142,7511.618,7511.618,11091.518,74119.243,63027.725
E01003500,"10","10",7508.642,159233.508,151724.866,721246.228,72124.6228,63751.031,56348.8440907499,7508.642,7508.642,22855.274,137766.141,114910.867
E01003593,"7","7",5852.317,23906.234,18053.917,108904.267,15557.7524285714,15386.508,5492.17681556476,5852.317,5852.317,12996.034,18883.57,5887.536
E01003631,"6","6",2392.955,107877.397,105484.442,165705.271,27617.5451666667,12350.504,36791.8265334662,2392.955,2392.955,3912.711,26821.2,22908.489
E01003632,"6","6",935.796,51505.932,50570.136,136991.874,22831.979,25610.969,17819.8035576043,935.796,935.796,1281.559,32046.649,30765.09
E01003506,"7","7",5856.434,30212.325,24355.891,106345.672,15192.2388571429,11258.301,8359.90066328213,5856.434,5856.434,8623.756,20885.55,12261.794
E01003515,"14","14",542.815,164467.679,163924.864,715558.78,51111.3414285714,43329.738,44362.9121176654,542.815,542.815,14314.118,63045.081,48730.963
E01003517,"10","10",1440.585,85681.165,84240.58,274671.653,27467.1653,15466.107,29300.9194387321,1440.585,1440.585,6552.366,41668.342,35115.976
E01033584,"7","7",323.068,43432.067,43108.999,150737.554,21533.9362857143,23455.997,12475.6368678197,323.068,323.068,14763.5895,26999.6215,12236.032
E01034210,"5","5",3749.715,41474.674,37724.959,97117.121,19423.4242,15718.54,12796.837186156,3749.715,3749.715,12189.015,23985.177,11796.162
E01034212,"8","8",5384.56,101706.175,96321.615,288389.277,36048.659625,20366.912,34014.8789356376,5384.56,5384.56,9413.3595,60868.9995,51455.64
E01003501,"7","7",43.517,49715.915,49672.398,158474.322,22639.1888571429,25805.085,18898.6495813424,43.517,43.517,3351.8115,38103.091,34751.2795
E01003507,"6","6",8665.393,38102.73,29437.337,142131.928,23688.6546666667,23915.219,8587.39585464211,8665.393,8665.393,22101.002,25432.365,3331.363
E01003508,"7","7",4423.987,29566.019,25142.032,130491.268,18641.6097142857,25256.746,10586.9100737334,4423.987,4423.987,7626.991,27995.267,20368.276
E01003509,"5","5",3616.23,46557.931,42941.701,104310.63,20862.126,18411.153,14217.5788279014,3616.23,3616.23,14054.671,21670.645,7615.974
E01003511,"3","3",7644.776,44638.478,36993.702,91634.462,30544.8206666667,39351.208,16336.0101272153,7644.776,7644.776,23497.992,41994.843,18496.851
E01034208,"9","9",372.846,44723.782,44350.936,150035.202,16670.578,15324.282,12823.6928926037,372.846,372.846,10367.102,20595.437,10228.335
E01003512,"9","9",592.194,73889.231,73297.037,129071.323,14341.2581111111,1987.862,23369.884821077,592.194,592.194,1309.569,10374.176,9064.607
E01003514,"5","5",4.858,88755.347,88750.489,177939.692,35587.9384,24694.076,33980.2929571558,4.858,4.858,4500.002,59985.409,55485.407
E01003516,"5","5",1733.8,55868.58,54134.78,134966.151,26993.2302,16958.555,19737.3273214457,1733.8,1733.8,16885.497,43519.719,26634.222
E01003518,"5","5",4755.914,67894.578,63138.664,180709.595,36141.919,28797.567,25472.8065160423,4755.914,4755.914,15415.865,63845.671,48429.806
E01003519,"5","5",356.02,29972.01,29615.99,62271.898,12454.3796,9032.051,10607.4341477272,356.02,356.02,4540.549,18371.268,13830.719
E01003490,"4","4",6039.049,47534.259,41495.21,89024.213,22256.05325,17725.4525,15506.9573402936,6039.049,6039.049,10348.004,34164.1025,23816.0985
E01003520,"8","8",3448.017,38254.582,34806.565,130283.14,16285.3925,14988.0385,11918.7045888493,3448.017,3448.017,4845.472,24456.76,19611.288
E01003521,"8","8",5141.954,35143.94,30001.986,136367.025,17045.878125,14631.292,10330.691567651,5141.954,5141.954,7744.1235,25665.15,17921.0265
E01003522,"7","7",1144.128,21184.061,20039.933,78244.353,11177.7647142857,11213.939,6219.74986703854,1144.128,1144.128,7423.6305,14927.482,7503.8515
E01003524,"5","5",668.987,26155.197,25486.21,88096.667,17619.3334,19414.762,9025.04634409891,668.987,668.987,17615.811,24241.91,6626.099
E01003525,"8","8",8627.408,22590.876,13963.468,129223.052,16152.8815,16183.3245,4187.90865657645,8627.408,8627.408,13476.1055,19342.954,5866.8485
E01003526,"9","9",105.06,20479.976,20374.916,107130.567,11903.3963333333,15223.293,6694.56600867896,105.06,105.06,9017.13,16161.644,7144.514
E01003523,"12","12",421.682,77082.479,76660.797,205581.703,17131.8085833333,13896.4635,19771.6584648165,421.682,421.682,2953.893,21172.7855,18218.8925
E01003542,"7","7",4244.134,42249.525,38005.391,134297.278,19185.3254285714,14637.701,11984.5908803261,4244.134,4244.134,10807.038,25775.921,14968.883
E01003528,"4","4",11863.334,24260.976,12397.642,65243.628,16310.907,14559.659,4720.35309140815,11863.334,11863.334,13178.5355,19443.2785,6264.743
E01003529,"9","9",496.541,33657.414,33160.873,117928.319,13103.1465555556,7952.645,12442.5821051148,496.541,496.541,2917.491,22071.581,19154.09
E01003530,"4","4",13787.796,44461.284,30673.488,120789.385,30197.34625,31270.1525,11075.8512848939,13787.796,13787.796,21129.7405,39264.952,18135.2115
E01003532,"9","9",227.016,23014.311,22787.295,111920.101,12435.5667777778,14860.648,6542.7740272944,227.016,227.016,6951.624,16076.932,9125.308
E01003534,"4","4",12922.86,56604.574,43681.714,137281.875,34320.46875,33877.2205,18722.8369788945,12922.86,12922.86,15922.185,52718.7525,36796.5675
E01003625,"2","2",3556.249,33920.952,30364.703,37477.201,18738.6005,18738.6005,15182.3515,3556.249,3556.249,3556.249,33920.952,30364.703
E01003626,"5","5",585.519,33802.163,33216.644,76582.386,15316.4772,7340.645,14073.3606009624,585.519,585.519,4028.281,30825.778,26797.497
E01003531,"11","11",1784.613,42441.429,40656.816,222509.367,20228.1242727273,20359.361,9007.45398103987,1784.613,1784.613,19079.5285,21165.9565,2086.428
E01003627,"4","4",664.726,11182.689,10517.963,21060.508,5265.127,4606.5465,3826.54080043092,664.726,664.726,2199.607,8330.647,6131.04
E01003575,"6","6",2722.095,49109.067,46386.972,141378.732,23563.122,20537.406,14794.3270488726,2722.095,2722.095,14420.506,34052.252,19631.746
E01003579,"4","4",984.268,43430.399,42446.131,98349.799,24587.44975,26967.566,15523.1840218625,984.268,984.268,11729.249,37445.6505,25716.4015
E01003585,"5","5",2956.653,32233.264,29276.611,72965.481,14593.0962,10180.707,10119.4755597873,2956.653,2956.653,9069.784,18525.073,9455.289
E01003587,"10","10",779.439,65973.069,65193.63,161256.298,16125.6298,7658.4865,19556.4268696758,779.439,779.439,1911.472,20076.014,18164.542
E01003588,"5","5",2401.069,34169.641,31768.572,63480.228,12696.0456,9544.408,11090.3184077206,2401.069,2401.069,6990.672,10374.438,3383.766
E01003589,"6","6",156.855,33675.687,33518.832,103670.779,17278.4631666667,16854.0775,9976.2035579718,156.855,156.855,14059.83,22070.252,8010.422
E01003551,"4","4",7452.681,52859.906,45407.225,95401.8,23850.45,17544.6065,18390.6966249949,7452.681,7452.681,7986.0475,39714.8525,31728.805
E01003552,"4","4",9872.311,36321.219,26448.908,106488.639,26622.15975,30147.5545,10269.9319014542,9872.311,9872.311,18336.6125,34907.707,16571.0945
E01003553,"3","3",2954.082,81771.46,78817.378,104128.793,34709.5976666667,19403.251,33948.5685010807,2954.082,2954.082,11178.6665,50587.3555,39408.689
E01003554,"4","4",747.534,47771.209,47023.675,97841.749,24460.43725,24661.503,17108.0987514747,747.534,747.534,9854.662,39066.2125,29211.5505
E01003557,"4","4",8340.599,76149.793,67809.194,176400.41,44100.1025,45955.009,31972.5935474088,8340.599,8340.599,12247.381,75952.824,63705.443
E01003558,"7","7",3494.41,37874.586,34380.176,150419.846,21488.5494285714,25912.693,12834.522864135,3494.41,3494.41,9278.149,32290.9295,23012.7805
E01003549,"7","7",6409.096,47891.33,41482.234,118380.396,16911.4851428571,9960.558,13423.7670922891,6409.096,6409.096,9554.167,17505.539,7951.372
E01003559,"7","7",1590.953,45055.486,43464.533,155003.764,22143.3948571429,27425.459,14716.3252763305,1590.953,1590.953,8848.2025,31617.7305,22769.528
E01003618,"6","6",17884.208,42593.439,24709.231,160550.379,26758.3965,26201.5445,8460.64358319115,17884.208,17884.208,18269.452,29400.191,11130.739
E01003635,"10","10",502.45,99381.609,98879.159,382133.987,38213.3987,17056.868,36635.5135217712,502.45,502.45,7491.292,70622.051,63130.759
E01003636,"6","6",11043.206,63830.564,52787.358,196208.488,32701.4146666667,31584.1025,16675.3035461469,11043.206,11043.206,19535.03,38631.483,19096.453
E01003560,"5","5",8868.05,23121.646,14253.596,79428.421,15885.6842,16514.578,5012.83831005152,8868.05,8868.05,12050.182,18873.965,6823.783
E01003561,"5","5",1030.08,42732.423,41702.343,79591.12,15918.224,2676.288,17479.285715714,1030.08,1030.08,2245.177,30907.152,28661.975
E01003562,"3","3",12110.073,47545.518,35435.445,98418.812,32806.2706666667,38763.221,15067.2190210482,12110.073,12110.073,25436.647,43154.3695,17717.7225
E01003563,"5","5",980.674,32050.424,31069.75,91108.319,18221.6638,19849.065,10125.0437952813,980.674,980.674,15963.286,22264.87,6301.584
E01003586,"5","5",3675.838,59712.718,56036.88,149233.598,29846.7196,30278.287,17932.3258252676,3675.838,3675.838,24448.139,31118.616,6670.477
E01003533,"6","6",2503.258,51105.472,48602.214,114508.143,19084.6905,8250.8925,18103.9924511385,2503.258,2503.258,7848.221,36549.407,28701.186
E01003564,"5","5",3.625,76292.238,76288.613,108777.131,21755.4262,9084.847,27813.5162988885,3.625,3.625,6326.293,17070.128,10743.835
E01003565,"5","5",551.995,55650.484,55098.489,90285.124,18057.0248,10264.67,20192.3456685937,551.995,551.995,2352.776,21465.199,19112.423
E01003555,"6","6",2548.056,47020.181,44472.125,163455.515,27242.5858333333,27304.446,13251.8612818302,2548.056,2548.056,25226.829,34051.557,8824.728
E01003556,"8","8",49.668,35323.379,35273.711,138097.384,17262.173,14892.3425,11940.3289675875,49.668,49.668,7405.7025,29064.1235,21658.421
E01003567,"2","2",23988.54,74219.589,50231.049,98208.129,49104.0645,49104.0645,25115.5245,23988.54,23988.54,23988.54,74219.589,50231.049
E01003570,"5","5",0.162,57394.291,57394.129,102633.905,20526.781,9288.704,20627.5621539771,0.162,0.162,7786.839,28163.909,20377.07
E01003571,"4","4",2957.661,51981.878,49024.217,105115.94,26278.985,25088.2005,21688.0423129083,2957.661,2957.661,4843.2935,47714.6765,42871.383
E01003574,"10","10",12.653,66533.333,66520.68,189375.73,18937.573,14439.402,18162.0072904545,12.653,12.653,6744.864,25464.722,18719.858
E01003592,"6","6",1501.422,37091.113,35589.691,133265.447,22210.9078333333,24238.256,12377.7187575463,1501.422,1501.422,12054.324,34142.076,22087.752
E01003596,"8","8",5357.317,26411.938,21054.621,111811.799,13976.474875,15022.896,7215.94701779455,5357.317,5357.317,5890.4485,19107.9275,13217.479
E01003597,"7","7",2605.721,23654.59,21048.869,89740.359,12820.0512857143,13529.506,7215.92179096119,2605.721,2605.721,7583.7015,17391.5695,9807.868
E01003573,"6","6",2090.958,38361.929,36270.971,99607.942,16601.3236666667,11962.985,13663.3550836845,2090.958,2090.958,3641.719,31587.366,27945.647
E01003572,"5","5",5.91,42686.266,42680.356,93812.652,18762.5304,11158.263,18336.3871575964,5.91,5.91,1324.14,38638.073,37313.933
E01003576,"4","4",8874.225,72191.635,63317.41,149685.268,37421.317,34309.704,23715.8328673461,8874.225,8874.225,16511.522,58331.112,41819.59
E01003578,"6","6",699.247,185434.961,184735.714,416779.344,69463.224,52451.8665,64161.8664761857,699.247,699.247,8995.16,116746.243,107751.083
E01003581,"4","4",3026.024,45509.695,42483.671,101630.798,25407.6995,26547.5395,19551.3818594652,3026.024,3026.024,5973.4535,44841.9455,38868.492
E01003582,"4","4",2.004,39973.475,39971.471,85755.113,21438.77825,22889.817,15972.4866357425,2.004,2.004,6283.5465,36594.01,30310.4635
E01003583,"4","4",392.391,62429.161,62036.77,98170.563,24542.64075,17674.5055,22997.2801015455,392.391,392.391,8470.64,40614.6415,32144.0015
E01003577,"5","5",495.822,61565.398,61069.576,139410.447,27882.0894,21166.777,22296.5644136317,495.822,495.822,11418.971,44763.479,33344.508
E01003580,"2","2",18568.381,68321.086,49752.705,86889.467,43444.7335,43444.7335,24876.3525,18568.381,18568.381,18568.381,68321.086,49752.705
E01003591,"7","7",1402.681,42576.018,41173.337,164664.315,23523.4735714286,24313.919,14542.6392475041,1402.681,1402.681,11952.871,36232.9775,24280.1065
E01003594,"6","6",2134.953,35567.016,33432.063,116007.302,19334.5503333333,18452.8575,11476.6377756468,2134.953,2134.953,11210.608,30189.01,18978.402
E01003595,"5","5",4845.953,38377.121,33531.168,92520.321,18504.0642,14843.715,11184.5964971805,4845.953,4845.953,13529.979,20923.553,7393.574
E01003600,"7","7",163.406,32941.132,32777.726,110265.949,15752.2784285714,14350.919,11871.4382772191,163.406,163.406,5247.326,26157.92,20910.594
E01003630,"6","6",193.314,80387.711,80194.397,104384.791,17397.4651666667,3708.0955,28670.567459535,193.314,193.314,633.816,15753.759,15119.943
E01003598,"8","8",1429.193,27379.538,25950.345,71926.785,8990.848125,8280.725,8016.27070336105,1429.193,1429.193,1978.059,11300.243,9322.184
E01003637,"3","3",14419.515,57422.904,43003.389,94203.315,31401.105,22360.896,18683.6274216062,14419.515,14419.515,18390.2055,39891.9,21501.6945
E01003601,"12","12",189.023,104377.257,104188.234,353749.643,29479.1369166667,20631.085,31408.2048195228,189.023,189.023,8578.906,32683.1775,24104.2715
E01003602,"6","6",1014.291,36318.26,35303.969,119325.739,19887.6231666667,18884.584,12264.0021491397,1014.291,1014.291,11209.761,33014.259,21804.498
E01003607,"6","6",3122.245,56574.528,53452.283,125754.188,20959.0313333333,11497.3245,18812.4144378614,3122.245,3122.245,8236.529,34826.237,26589.708
E01034202,"8","8",674.869,31321.393,30646.524,94362.272,11795.284,9165.1675,10072.3014975767,674.869,674.869,2674.8605,19342.977,16668.1165
E01003603,"9","9",2.944,58562.024,58559.08,202994.365,22554.9294444444,17016.051,21563.9935381753,2.944,2.944,2090.93,39653.74,37562.81
E01003608,"6","6",106.316,37510.009,37403.693,93072.586,15512.0976666667,11232.3515,13229.1021977714,106.316,106.316,5444.8,27546.758,22101.958
E01003621,"4","4",7867.385,22245.153,14377.768,67084.643,16771.16075,18486.0525,5799.1818648851,7867.385,7867.385,11619.537,21922.7845,10303.2475
E01003622,"7","7",3445.39,68264.662,64819.272,240667.627,34381.0895714286,33263.483,21038.0813118705,3445.39,3445.39,20952.4905,46894.5555,25942.065
E01003623,"6","6",26520.759,45913.682,19392.923,215854.468,35975.7446666667,35811.7865,6545.60977525531,26520.759,26520.759,31337.962,40458.492,9120.53
E01003628,"2","2",9899.925,46223.723,36323.798,56123.648,28061.824,28061.824,18161.899,9899.925,9899.925,9899.925,46223.723,36323.798
E01003629,"4","4",1071.494,27528.392,26456.898,65148.665,16287.16625,18274.3895,10353.4647533044,1071.494,1071.494,6866.766,25707.5665,18840.8005
E01003633,"4","4",114.517,45193.727,45079.21,96349.709,24087.42725,25520.7325,16202.6907184937,114.517,114.517,11020.9715,37153.883,26132.9115
E01003634,"5","5",10583.535,44049.14,33465.605,144192.067,28838.4134,26739.956,11654.9951151801,10583.535,10583.535,24446.923,38372.513,13925.59
E01003619,"9","9",571.927,52196.043,51624.116,251576.496,27952.944,29972.306,18703.7596172257,571.927,571.927,9264.722,46577.902,37313.18
E01033586,"6","6",4273.881,228535.752,224261.871,423345.263,70557.5438333333,27623.3665,82054.5596237515,4273.881,4273.881,9374.301,125914.596,116540.295
E01034199,"6","6",994.436,46512.3,45517.864,105640.948,17606.8246666667,15012.2165,15116.3539013168,994.436,994.436,5389.025,22720.754,17331.729
E01034200,"7","7",4108.868,29886.832,25777.964,127176.696,18168.0994285714,20967.712,9249.01507769952,4108.868,4108.868,10883.792,25222.85,14339.058
E01034219,"8","8",9778.163,48188.564,38410.401,161963.205,20245.400625,15667.244,11302.8839921332,9778.163,9778.163,14858.931,21472.064,6613.133
E01034220,"12","12",252.045,69594.98,69342.935,338454.062,28204.5051666667,32996.099,18383.0175854069,252.045,252.045,10871.158,37063.3825,26192.2245
E01034213,"4","4",1542.972,68090.651,66547.679,125126.563,31281.64075,27746.47,28431.1944561623,1542.972,1542.972,3638.7865,58924.495,55285.7085
E01034214,"5","5",1443.194,14232.616,12789.422,35306.164,7061.2328,7050.044,4322.34783703202,1443.194,1443.194,4141.538,8438.772,4297.234
E01034215,"3","3",270.274,27411.918,27141.644,37412.401,12470.8003333333,9730.209,11248.7137160341,270.274,270.274,5000.2415,18571.0635,13570.822
E01034217,"7","7",65.119,93889.694,93824.575,251937.732,35991.1045714286,29924.673,29747.8247050184,65.119,65.119,17484.904,46544.219,29059.315
E01034218,"6","6",8850.66,51225.965,42375.305,206748.603,34458.1005,44672.929,18253.7315312697,8850.66,8850.66,8858.482,48467.638,39609.156
E01034216,"3","3",7887.673,47377.576,39489.903,63413.914,21137.9713333333,8148.665,18554.5083291228,7887.673,7887.673,8018.169,27763.1205,19744.9515
E01033579,"4","4",2877.192,169850.506,166973.314,375412.515,93853.12875,101342.4085,71279.5964880667,2877.192,2877.192,24363.804,163342.4535,138978.6495
E01034221,"8","8",197.002,54642.496,54445.494,146490.173,18311.271625,7662.866,20463.6897460202,197.002,197.002,892.5655,37269.906,36377.3405
E01034222,"8","8",331.259,181096.914,180765.655,484468.448,60558.556,41127.328,62249.3555779127,331.259,331.259,5384.772,105008.0375,99623.2655
E01034223,"6","6",460.896,20187.775,19726.879,60659.729,10109.9548333333,9832.578,8082.63031080632,460.896,460.896,1675.81,18670.092,16994.282
E01034224,"8","8",5648.348,174017.171,168368.823,716041.472,89505.184,84736.112,57776.7349810726,5648.348,5648.348,37572.1805,145879.684,108307.5035
E01034225,"5","5",3771.103,222030.257,218259.154,438147.513,87629.5026,69238.732,72172.2759945984,3771.103,3771.103,64723.245,78384.176,13660.931
E01034226,"4","4",261.624,19647.781,19386.157,38804.286,9701.0715,9447.4405,7518.15271854352,261.624,261.624,2677.3315,16724.8115,14047.48
E01034228,"4","4",3990.492,27245.679,23255.187,64127.097,16031.77425,16445.463,9787.62871327369,3990.492,3990.492,6474.5785,25588.97,19114.3915
E01034231,"3","3",2805.325,108740.482,105935.157,157535.391,52511.797,45989.584,43493.0555297179,2805.325,2805.325,24397.4545,77365.033,52967.5785
E01033580,"4","4",7687.041,30649.536,22962.495,80658.969,20164.74225,21161.196,10552.1666721545,7687.041,7687.041,9710.0025,30619.482,20909.4795
E01034227,"2","2",934.067,44859.82,43925.753,45793.887,22896.9435,22896.9435,21962.8765,934.067,934.067,934.067,44859.82,43925.753
E01034229,"4","4",31086.293,188168.458,157082.165,385658.021,96414.50525,83201.635,58325.2541186716,31086.293,31086.293,48691.0205,144137.99,95446.9695
E01034230,"3","3",3812.934,19670.994,15858.06,42186.455,14062.1516666667,18702.527,7258.06811608325,3812.934,3812.934,11257.7305,19186.7605,7929.03
E01003483,"5","5",10.573,112858.788,112848.215,245449.399,49089.8798,35001.035,38148.7575103967,10.573,10.573,31429.915,66149.088,34719.173
E01003484,"4","4",9600.098,42218.044,32617.946,101231.159,25307.78975,24706.5085,11548.295230385,9600.098,9600.098,17081.5975,33533.982,16452.3845
E01003485,"5","5",5472.766,66345.324,60872.558,150736.881,30147.3762,29723.113,22142.3395173583,5472.766,5472.766,9259.758,39935.92,30676.162
E01003486,"7","7",3048.181,72698.018,69649.837,218647.936,31235.4194285714,19546.076,23499.1487757435,3048.181,3048.181,13742.449,47935.3815,34192.9325
E01003540,"5","5",7091.933,64117.719,57025.786,207794.871,41558.9742,40800.762,20692.9127135462,7091.933,7091.933,34414.206,61370.251,26956.045
E01003541,"5","5",2373.76,88294.212,85920.452,160963.498,32192.6996,7664.035,35203.5649425876,2373.76,2373.76,3416.708,59214.783,55798.075
E01034205,"12","12",1938.546,523005.546,521067,1469211.974,122434.331166667,42478.558,156383.141203275,1938.546,1938.546,9981.645,209401.024,199419.379
E01003543,"6","6",33.953,38008.583,37974.63,146223.489,24370.5815,30463.087,13240.8202740327,33.953,33.953,13677.692,33577.087,19899.395
E01003547,"3","3",1311.149,22042.789,20731.64,27986.232,9328.744,4632.294,9091.85372459966,1311.149,1311.149,2971.7215,13337.5415,10365.82
E01003584,"6","6",35.891,83428.793,83392.902,209884.083,34980.6805,36014.566,29079.4334099485,35.891,35.891,2644.606,51745.661,49101.055
E01003544,"6","6",244.209,41352.564,41108.355,114302.663,19050.4438333333,17038.793,12965.7622551707,244.209,244.209,10981.237,27647.067,16665.83
E01003546,"5","5",13206.1,41926.602,28720.502,116243.801,23248.7602,21199.327,10336.8200310081,13206.1,13206.1,14540.804,25370.968,10830.164
E01003499,"8","8",450.309,53304.255,52853.946,170494.278,21311.78475,23618.7935,16148.55035727,450.309,450.309,5962.8415,28788.222,22825.3805
E01003611,"6","6",232.901,48943.87,48710.969,150012.366,25002.061,26026.034,19068.8792327133,232.901,232.901,6152.874,42630.653,36477.779
E01033581,"10","10",2341.707,410732.67,408390.963,1266195.011,126619.5011,55315.827,148442.899177872,2341.707,2341.707,5752.742,247530.744,241778.002
E01033582,"7","7",3168.313,148569.33,145401.017,357841.474,51120.2105714286,44847.564,45373.3601263448,3168.313,3168.313,20308.583,60319.5505,40010.9675
E01003548,"7","7",794.98,34486.385,33691.405,128884.184,18412.0262857143,21323.484,11775.2178219943,794.98,794.98,8443.5095,27696.158,19252.6485
E01003615,"4","4",2719.574,57692.111,54972.537,108052.015,27013.00375,23820.165,19705.9253014923,2719.574,2719.574,12832.9515,41193.056,28360.1045
E01003616,"6","6",8641.052,37782.858,29141.806,145620.461,24270.0768333333,25126.773,11093.97094762,8641.052,8641.052,15284.19,33658.815,18374.625
E01004335,"1","1",0,0,0,0,0,0,0,0,0,0,0,0
E01004337,"1","1",0,0,0,0,0,0,0,0,0,0,0,0
E01034211,"11","11",1378.121,83014.182,81636.061,305731.976,27793.816,19059.409,26467.6717618827,1378.121,1378.121,7299.7055,39567.795,32268.0895
E01003480,"7","7",1144.226,69019.108,67874.882,285778.069,40825.4384285714,42211.71,22350.3029138939,1144.226,1144.226,27669.0775,59032.435,31363.3575
E01003481,"12","12",412.733,146028.308,145615.575,520289.667,43357.47225,27549.059,41222.01174414,412.733,412.733,14123.802,60577.1865,46453.3845
E01003487,"6","6",5963.237,43878.907,37915.67,124456.285,20742.7141666667,20217.313,13334.0508018682,5963.237,5963.237,6003.534,28175.981,22172.447
E01034206,"8","8",2180.012,284916.486,282736.474,1059392.156,132424.0195,99652.2755,117610.520681507,2180.012,2180.012,18968.46,267527.0935,248558.6335
E01003604,"7","7",18445.536,46411.763,27966.227,221511.006,31644.4294285714,31904.76,7723.87089645579,18445.536,18445.536,28957.186,33417.2875,4460.1015
E01003550,"5","5",333.523,41531.487,41197.964,115792.324,23158.4648,25463.723,16191.1590070095,333.523,333.523,9322.001,39141.59,29819.589
E01003545,"4","4",20575.353,54132.536,33557.183,140795.202,35198.8005,33043.6565,12986.6013207151,20575.353,20575.353,23400.2085,46997.3925,23597.184
E01003535,"11","11",2499.293,114639.981,112140.688,470214.238,42746.7489090909,38694.613,27857.7459532825,2499.293,2499.293,32161.8395,47581.682,15419.8425
E01003624,"5","5",8236.093,42523.978,34287.885,142891.749,28578.3498,34229.893,12044.5927503233,8236.093,8236.093,22437.23,35464.555,13027.325
E01034207,"6","6",6610.065,42960.319,36350.254,137302.704,22883.784,21561.039,10976.9905195665,6610.065,6610.065,18278.274,26331.968,8053.694
E01003502,"8","8",3368.023,39247.19,35879.167,150738.548,18842.3185,18321.047,9879.76941185908,3368.023,3368.023,12878.0835,22862.537,9984.4535
E01003503,"10","10",35.497,42902.42,42866.923,147254.594,14725.4594,6301.217,15810.8573367445,35.497,35.497,791.171,29523.721,28732.55
E01034209,"12","12",192.816,28370.735,28177.919,153383.265,12781.93875,9084.3385,8606.46354663274,192.816,192.816,6527.17,21590.3855,15063.2155
E01003536,"8","8",1905.248,55094.964,53189.716,174792.255,21849.031875,20030.2555,16275.0328212484,1905.248,1905.248,8466.849,30398.917,21932.068
E01003538,"7","7",3183.442,56201.019,53017.577,173925.937,24846.5624285714,20197.496,17940.7831159917,3183.442,3183.442,11724.8115,35447.1785,23722.367
E01003513,"8","8",13786.815,106482.105,92695.29,339599.052,42449.8815,32690.177,28371.715552748,13786.815,13786.815,22838.101,54136.788,31298.687
E01003590,"7","7",13820.546,53655.037,39834.491,256020.727,36574.3895714286,44189.59,14916.1980961586,13820.546,13820.546,23975.532,48202.245,24226.713
E01003479,"6","6",3233.601,78381.555,75147.954,296101.77,49350.295,56802.2165,28564.9282289931,3233.601,3233.601,24669.272,76212.909,51543.637
E01003497,"11","11",1768.322,198271.091,196502.769,700055.784,63641.4349090909,37818.086,59056.7136371489,1768.322,1768.322,18467.214,93916.001,75448.787
